#ambient is 34/39 * measured elevated values
#StemBranchID	node	branchAngle	pet.1Angle	pet.2Angle	mid-ifAngle	Left_angle	Right_angle	Middle_angle	internode	pet.1	pet.2	lat1L	lat1W	lat2L	lat2W	midL	midW	numPods	numPodsAmbient
0		0	0		80		175		180		0		0		0		30.40		25	3	0	0	0	0	52	36	0	0
0		1	0		59		175		190		88.423		87.138		9.974		22.80		100	10	38.77	26.03	46.58	33.11	51.82	35.60	0	0
0		2	0		51		175		183		104.543		85.601		3.333		24.05		125	18	57.77	36.01	60.98	36.58	70.91	42.18	0	0
0		3	0		49		175		190		100.903		66.116		10.433		30.15		150	21	61.75	37.16	61.96	39.00	77.24	47.53	0	0	
0		4	0		43		175		152		59.187		125.292		27.525		42.65		180	36	76.08	47.23	68.35	40.54	94.83	57.10	0	0
0		5	0		37		175		166		107.897		114.586		13.156		48.35		200	34	77.11	50.54	78.34	49.02	87.50	48.26	1	0.872
0		6	0		35		175		172		108.75		112.271		7.837		52.40		220	34	77.17	53.54	78.32	49.21	87.47	50.93	1	0.872
0		7	0		33		175		188		135.985		133.854		7.575		61.10		230	34	79.90	60.58	89.27	60.39	93.90	58.21	3	2.615
0		8	0		30		175		199		86.797		96.911		19.058		61.85		220	34	87.24	61.64	92.83	60.71	101.21	56.03	5	4.359
0		9	0		28		175		162		68.749		56.933		17.795		75.95		200	34	94.58	62.69	96.38	61.04	108.53	53.85	5	4.359
0		10	0		26		175		187		119.358		128.298		6.602		71.40		180	34	99.92	58.48	86.42	50.94	108.34	55.65	4	3.487
0		11	0		24		175		190		104.487		135.439		9.71		72.32		150	34	89.15	45.06	86.76	49.06	98.20	50.06	4	3.487
0		12	0		22		175		156		68.232		61.892		23.928		64.05		125	34	73.57	37.61	74.32	45.27	90.11	43.54	4	3.487
0		13	0		19		175		181		91.397		79.76		1.126		51.83		100	34	71.07	36.15	76.40	40.82	84.63	40.28	3	2.615
0		14	0		17		175		149		113.167		68.103		30.734		42.17		75	34	52.46	21.98	50.84	28.11	69.86	25.46	2	1.744
0		15	0		16		175		184		65.556		60.068		3.838		39.50		50	34	33.84	16.82	39.94	17.09	58.42	16.22	3	2.615
0		16	0		15		175		184		65.556		60.068		3.838		22.75		25	34	33.84	16.82	39.94	17.09	58.42	16.22	2	1.744
#0		19	0		10		0		0		0		0		0		19		20	0	0	0	0	0	0	0	2	1.744
